10_1
11_1
12_1
13_1
14_1
15_1
16_1
17_1
18_1
19_1
1_1
20_1
21_1
22_1
2_1
3_1
4_1
5_1
6_1
7_1
8_1
9_1
GL000205.2_1
KI270733.1_1
MT_1
NC_007605.1_1
X_1
human_chromosome_percent
human_chromosome_counts
human_mitochondrial_percent
human_mitochondrial_counts
percent_viral_reads
percent_viral_reads_NC_007605.1_1
